Location,Latitude,Longitude
Albury, -36.080476, 146.916280
BadgerysCreek, -33.879753, 150.749405
Cobar, -31.498333, 145.838333
CoffsHarbour, -30.296253, 153.113018
Moree, -29.463551, 149.841614
Newcastle, -32.926689, 151.778921
NorahHead, -33.281326, 151.567262
NorfolkIsland, -29.040835, 167.954712
Penrith, -33.750365, 150.698501
Richmond, -33.596792, 150.747346
Sydney, -33.868820, 151.209296
SydneyAirport, -33.946111, 151.177222
WaggaWagga, -35.122213, 147.339508
Williamtown, -32.793602, 151.838028
Wollongong, -34.424394, 150.893850
Canberra, -35.282001, 149.128998
Tuggeranong, -35.410766, 149.108983
MountGinini, -35.529007, 148.773376
Ballarat, -37.562263, 143.860718
Bendigo, -36.758876, 144.282593
Sale, -38.088771, 147.086807
MelbourneAirport, -37.672869, 144.848333
Melbourne, -37.813628, 144.963058
Mildura, -34.229293, 142.086105
Nhil, -36.332169, 141.650757
Portland, -38.360973, 141.605042
Watsonia, -37.711820, 145.083411
Dartmoor, -37.919415, 141.274857
Brisbane, -27.469771, 153.025124
Cairns, -16.920334, 145.770859
GoldCoast, -28.016667, 153.399994
Townsville, -19.256390, 146.823853
Adelaide, -34.928499, 138.600746
MountGambier, -37.828350, 140.780433
Nuriootpa, -34.469261, 138.992288
Woomera, -31.199167, 136.825287
Albany, -35.024780, 117.883610
Witchcliffe, -34.015625, 115.100525
PearceRAAF, -31.667910, 116.017189
PerthAirport, -31.940481, 115.966936
Perth, -31.953512, 115.857048
SalmonGums, -32.9819, 121.6485
Walpole, -34.9773, 116.7315
Hobart, -42.8821, 147.3272
Launceston, -41.4332, 147.1445
AliceSprings, -23.6980, 133.8807
Darwin, -12.4634, 130.8456
Katherine, -14.4644, 132.2630
Uluru, -25.3444, 131.0369
