Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
Adelaide,12.325245901639343,22.904098360655738,1.2668852459016393,0.9011370666666664,6.813333333333334,WSW,33.112,NNE,WSW,8.007377049180327,13.213934426229509,59.704098360655735,44.74901639344262,1019.7951639344263,1017.8811475409836,5.293333333333333,5.728659967999999,16.851639344262296,21.517950819672134
Albany,12.8908221397509,19.804754104028852,2.3063237376120815,16.195478427783982,5.826993388630017,W,47.653333333333336,NW,W,16.11305560440546,18.86666666666666,75.86786358248939,73.66666666666666,1018.0432923454459,1016.314897351581,5.269107721427952,7.4,16.175635131814726,15.760000000000002
Albury,9.386432801822323,22.60966742596811,1.9883371298405466,,,W,32.83280182232346,SE,W,8.313439635535307,14.197266514806378,76.85715547786788,50.088235260384515,1018.260820045558,1015.6542141230068,5.590205596328265,4.809205631714202,14.34400911161731,21.223917995444193
AliceSprings,13.197402118839245,30.044495624136342,0.7228466144633809,8.804107490507699,10.341847251138747,ESE,40.93841080423768,E,ESE,14.647719355135882,17.96827637033625,37.32307692307692,22.06098572086596,1016.5075541225241,1012.6077844311377,5.805819590101756,4.932266637863152,21.574159373560573,28.830308613542147
BadgerysCreek,10.939349210903874,23.949116084901767,2.510856049736968,,,E,34.32208280225131,SW,NNE,7.977778286368353,14.022328163378447,74.68981348637016,50.5283102688658,1018.4590998787879,1015.6328109416205,5.728087997973711,5.599999999999998,16.594377809660447,22.40630129124821
Ballarat,7.429789184234647,18.205362053162236,1.810724106324473,2.169066666666668,5.046666666666669,N,45.61187901008249,N,N,20.274060494958754,23.020164986251146,82.21703171402383,59.77514015325389,1017.7981867204401,1016.2471692025664,6.727130404873054,6.347466784732209,11.617965169569203,16.768835930339137
Bendigo,8.470252177900045,21.615149014213664,1.5037138927097662,2.213333333333334,5.046666666666669,SSE,38.38853736817973,SSE,SW,13.163227877120587,17.396882164144888,71.02292526364053,46.47363594681339,1017.7669876203576,1015.572260430995,6.162926778294618,5.671737808972747,13.638927097661623,20.166941769830352
Brisbane,16.695850307910945,26.78,3.1975367124585503,7.642359925809324,8.179403126480342,ENE,27.2997252486973,SW,ENE,6.286120322122217,9.974893415442917,62.67759355755566,52.17148270961629,1017.9814779725248,1014.7915206063476,3.9033633349123638,3.7413548081477974,21.983041212695404,25.047096162955945
Cairns,21.38885496183206,29.916010178117048,5.9703816793893125,14.852530351335469,9.49346316087079,SE,36.8916844783715,SSE,SE,14.231552162849873,20.421374045801528,70.19541984732824,62.64936386768448,1013.8717048346056,1010.8036132315522,5.8796433671239035,5.544862581895021,25.993842239185753,28.10615776081425
Canberra,6.884542986425339,20.841538461538462,1.8367420814479638,2.169066666666668,5.046666666666669,NW,40.931844343891406,NNW,NW,11.245701357466062,20.245701357466064,73.84072398190045,47.39140271493213,1018.6086425339367,1015.9057918552036,6.343334734378032,5.507190108455826,12.666018099547513,19.33819004524887
Cobar,13.125077939409644,26.42469517743403,1.0285714285714287,9.326421999797802,7.019999999999999,SW,37.32147034400956,NE,SW,15.572366180163785,16.07488626023658,53.268593526333035,30.97998180163785,1017.6853280760288,1014.9799160853302,5.620904741758929,4.444893377154454,18.241126835479527,25.034786169244768
CoffsHarbour,14.45984643179765,24.20992832520325,5.230939476061427,3.122666666666668,4.580655500023092,NE,39.6740212753447,SW,NE,15.569665763324299,21.268352664859982,69.04426377597109,63.58672086720867,1018.1406052393856,1015.6999548328818,5.996218018925195,5.886533272918775,20.281391147244804,22.52633242999097
Dartmoor,8.69622677865199,19.65492294697325,1.9914594087282966,5.573291621043848,7.273082016789199,SSW,37.18215099995765,N,SSW,10.145171281088691,16.091506335053964,85.40048790543857,62.31975598310652,1017.7774284373535,1016.323932426091,7.066666666666668,6.2,12.567104645706241,18.102103425621774
Darwin,23.629719963866304,32.90975609756097,4.754381210478772,6.383357615176152,8.66509485094851,E,38.26865401987353,SE,WNW,12.313911472448059,18.31662149954833,68.17822944896116,52.02529358626919,1011.7060433604337,1008.1845167118338,3.8955736224028903,3.9056910569105696,27.57954832881662,31.430171635049682
GoldCoast,17.310662824207494,25.567098943323725,4.03342939481268,15.5028406524448,9.493333333333329,SE,41.22603266090298,SSE,SE,17.60326609029779,24.474351585014407,68.1895292987512,64.79154658981749,1017.7107108549473,1014.9573006724304,7.400000000000001,4.266666666666666,22.20437079731028,23.70057636887608
Hobart,9.263528336380256,18.078793418647166,1.5912248628884826,3.4486808856389284,6.169613853341458,NNW,46.935210237659966,NNW,SE,16.20383912248629,19.79890310786106,67.21115173674589,54.502285191956126,1014.6039875685557,1012.9663177330896,4.982114564289588,5.229280926264632,12.604981718464352,16.437248628884824
Katherine,19.806268758095012,34.841159734304675,3.395390070921986,8.10379930550914,8.68,ESE,39.49737588652482,ESE,ESE,11.97872340425532,15.909574468085106,65.39377040885107,31.599999999999998,1012.443085106383,1008.2455673758865,2.6562452245787234,1.0000000000000004,26.354187904889645,31.04000000000001
Launceston,7.626814279258924,19.109631450519657,1.8186624491640306,2.106683733333334,5.453333333333333,NNW,35.80354392263895,NNW,NNW,8.486344328965204,15.727233619521014,79.2706291108065,57.034157754727374,1015.1399999999999,1013.4266666666668,6.266490198931537,5.9363809545209865,12.042248531405331,17.80661617713511
Melbourne,11.563800904977375,20.368371040723982,1.6553846153846155,4.720489067149321,6.3916289592760185,SSW,35.29747692307692,N,SSW,9.909049773755656,13.761538461538462,71.24280542986426,55.509049773755656,1017.8527601809956,1015.9678642533936,4.998045248868778,5.081755656108597,14.606036199095023,18.905294117647056
MelbourneAirport,9.742373646209385,20.49287003610108,1.5817689530685919,4.715920955956679,6.3915613718411555,N,46.67283393501805,N,S,19.820848375451263,22.958935018050543,71.07039711191335,51.901624548736464,1017.8966606498195,1016.0504512635379,4.995794223826715,5.083790613718412,14.020487364620939,18.939530685920577
Mildura,10.825418656716417,25.00212686567164,0.6576492537313433,7.07943597690367,7.998659109187336,SSW,37.178358208955224,S,W,13.686514179104478,16.38166417910448,63.453824626865675,34.66316417910448,1018.6417444029851,1016.1159380597015,3.6085746399812137,3.7732531040420945,15.469636194029851,23.52079701492537
Moree,13.024209078404402,27.508711600183403,1.6442916093535074,19.200245661011767,11.903279555256638,NE,41.26903391843552,NNE,SW,18.759564838985803,18.020985789088712,58.86611646033929,34.2714351215039,1017.9545621274644,1014.5302778541952,5.739902216591938,4.4657227303020015,19.22026593305823,26.182209995414947
MountGambier,8.746006539000467,19.789276039234,2.067351704810836,5.573456723320205,7.273034051958635,W,43.21681457262961,N,S,17.686221391872955,22.53049976646427,77.88229799159271,59.63979448855675,1017.9019430172817,1016.3175151798224,6.739429714600864,6.491044252148756,13.693376926669782,18.101503970107427
MountGinini,3.7508810353409654,11.807964161274267,3.3727227476356396,2.169066666666668,5.046666666666669,W,45.20582419113987,W,W,14.409158785465406,13.415629666500747,77.613288181788,71.9672590303209,1019.3866666666668,1017.086666666667,7.750292139322028,6.133333333333333,6.773220507715281,10.186660029865605
Newcastle,13.796279005981798,24.62552492551758,2.8243301955104996,19.20064,11.903171126294257,W,54.626666666666665,NW,W,8.085650307971125,27.2,72.58855928346334,34.59999999999998,1017.4066666666666,1013.6066666666668,4.136164097815182,1.5333333333333325,18.40187851381747,22.606666666666676
Nhil,8.626755092373283,21.930071056371386,1.0976788252013263,8.54666666666667,6.738359893333334,W,42.536522974893415,S,SW,16.169114163903362,21.023211747986736,74.27806726669824,45.003315963998105,1018.2134533396495,1016.098910468972,3.3999999999999995,3.0,12.991425864519186,20.44097584083373
NorahHead,15.338977635782745,23.05141031492469,3.5082610680054773,19.20064,11.903171126294255,S,42.092140575079874,SSW,NE,13.756823368324966,20.692377909630306,76.44956640803287,67.43404837973529,1017.8863532633501,1015.6523505248744,0.7514137542656001,1.5333333333333325,18.639205842081243,21.188772250114102
NorfolkIsland,17.181007154978357,22.198459542472342,3.4021164021164023,5.153665280798132,7.5801122334455675,E,42.47106627100321,E,E,20.87858024050024,21.721804713804712,74.57259172046172,72.49987937571362,1017.3007455892257,1015.4562051755651,6.097314238618368,5.92513143063483,20.303368173160173,20.695588648388647
Nuriootpa,9.135512880562061,21.91465105386417,1.2134894613583138,5.6382360272527645,7.031230634401214,W,41.34887119437939,NE,WSW,14.295550351288057,18.62950819672131,68.6961374479468,46.67397606507916,1018.5878220140515,1016.4597189695551,5.133049784401494,4.35785946510995,14.834238875878219,20.562950819672132
PearceRAAF,12.432824427480917,26.026908396946567,1.7569656488549619,29.70899316813735,8.74693320610687,E,44.010782442748095,E,SW,16.120229007633586,20.37118320610687,60.37166030534351,42.662213740458014,1017.7024809160305,1015.1479961832061,6.165052732036265,5.503428356237447,18.919751908396947,24.38401717557252
Penrith,12.306578881107702,25.094822611662828,2.4850299401197606,5.053333333333333,7.579999999999998,SE,31.604495624136344,SSW,NNE,6.087056655918931,11.562874251497005,76.22573853205468,49.50713679616545,1019.273333333333,1017.2533333333338,6.866666666666665,7.0,17.173961968387655,23.541565361584524
Perth,13.127762557077626,25.18608219178082,1.9444748858447487,5.858940420091324,8.82701917808219,SW,34.75780821917809,E,SW,10.07662100456621,13.778538812785389,62.121735159817355,47.02602739726027,1017.6974520547944,1015.3437442922374,3.296091324200913,3.371232876712329,18.830292237442922,23.578036529680364
PerthAirport,12.648330324909747,25.60148916967509,1.7935018050541516,5.876840938628159,8.83301985559567,E,45.225541516245485,ENE,WSW,17.92960288808664,21.826714801444044,59.33880866425992,42.994584837545126,1017.624368231047,1015.109476534296,3.292166064981949,3.371841155234657,18.897608303249097,24.15658844765343
Portland,9.551060676239,17.993237610004634,2.4229735988883743,5.5732921620091584,7.273085276105195,W,42.71405280222325,N,W,16.70456110125058,21.06954502142103,78.5275590551181,64.75822139879574,1017.5733672996757,1016.5010189902733,6.851105192200561,6.600980610704373,13.076794812413153,16.411903659101437
Richmond,11.393378623188406,24.7111231884058,2.409510869565217,4.315075843643922,7.579999999999998,ESE,35.9179347826087,SSW,NE,7.908514492753623,15.635326086956523,77.8288043478261,50.069021739130434,1018.3767210144927,1015.2878894927537,6.294268813491622,5.788169442726112,16.796965579710143,23.299547101449274
Sale,8.800592255125284,20.418751708428246,1.4500227790432803,1.706666666666667,5.166666666666668,E,54.42110391522926,WNW,W,25.813262465198683,22.754501847633506,80.79340683371298,58.07972665148064,1007.8701280688437,1010.0370394128065,7.084617251416904,5.320729068429729,13.502323462414578,18.978997722095674
SalmonGums,8.994645373414748,24.119680601221233,0.8749647721935181,4.8533333333333335,7.693333333333336,S,39.28163457022077,N,S,15.462658525129168,16.346547674964775,62.163926726162515,39.535932362611554,1014.2666666666664,1011.6866666666672,4.266666666666666,3.666666666666667,16.79445749178018,22.58238609675904
Sydney,14.751846785225718,23.387095303237576,3.8095759233926128,5.505282261741907,7.08766073871409,W,42.340163327324916,W,E,15.56060593148455,20.184569451500856,70.97318741450069,56.08791609667123,1018.0961331509347,1015.7414044687642,4.259972640218878,4.157814865481076,17.67979936160511,21.901696306429546
SydneyAirport,14.691447963800904,23.511719457013577,3.2986425339366514,5.483151131221719,7.085131221719457,S,47.52045248868778,NW,NE,18.558461538461536,26.06787330316742,66.64135746606334,56.04325791855204,1018.1229411764707,1015.7574208144796,4.253447963800905,4.1457411764705885,18.566090497737555,21.73691402714932
Townsville,20.540840950639854,29.668906764168188,3.3591407678244973,6.718866929950145,10.246672557383707,ENE,38.574594427787936,SE,ENE,15.189667129798902,24.128462742230347,65.2307129798903,58.8390310786106,1014.9082723948811,1011.625109689214,5.4627260586691975,5.322789111673192,25.854021937842777,28.02965265082267
Tuggeranong,7.161040219378427,20.671983546617916,2.0913162705667276,2.169066666666668,5.046666666666669,NW,34.30767824497258,S,NW,7.636654478976234,14.321755027422304,72.28519195612431,47.191042047531994,1018.2418647166363,1015.4527879341865,7.750292139322027,6.133333333333333,12.610191956124314,19.30004570383912
Uluru,14.542680128499311,30.932033042680125,0.5675998164295548,18.982441885008956,8.68,E,42.311335474988525,ESE,E,18.46489215236347,17.849013308857273,38.59889857732905,20.957319871500687,1016.3178063331803,1012.4035337310692,5.852965801238132,4.702295664650666,21.113538320330427,29.57039926571822
WaggaWagga,9.528431137724551,23.114011976047905,1.8344039194338597,8.157819757968733,10.873241395995882,ENE,36.79748423666041,E,WSW,13.524006532389764,16.589308655416442,71.03880239520959,44.73478497550354,1018.2395753946653,1015.5846488840501,6.323826655753579,5.334583334841914,14.870430048992922,21.787653783342407
Walpole,11.638456080235988,20.328817881612586,3.0233038348082593,4.8533333333333335,7.693333333333336,SE,40.0344936086529,NW,SSE,13.902880511505199,16.80434830340919,77.70091448174928,67.23347926959198,1017.5361848574238,1015.9474434611603,4.266666666666666,3.6666666666666665,15.838252718190757,18.38360329754179
Watsonia,9.965461187214611,20.989945205479454,1.9943378995433791,4.721406775525114,6.401826484018265,SSW,36.789954337899545,ENE,SW,8.649771689497717,13.83799086757991,80.65433789954338,54.969954337899544,1017.841506849315,1015.8447671232877,4.992639269406392,5.080949771689498,13.64150684931507,19.48111415525114
Williamtown,13.083270728355474,23.937333944113604,3.335776454420522,11.747010576678374,10.07172602320112,WNW,42.38295629867155,WNW,ESE,16.88908841044434,22.48448923499771,73.89738891433807,55.94915254237288,1017.996307833257,1015.5054420522216,6.511808386804932,5.737600302236961,18.084928996793405,22.495923041685753
Witchcliffe,10.899315584415584,21.2587012987013,2.7585497835497836,29.70899316813735,5.826666666666666,SSE,40.83268398268398,SE,SSE,14.672619047619047,19.865800865800868,73.84729437229437,60.28463203463203,1018.1254870129869,1016.4873917748918,7.400000000000001,7.4,16.398430735930734,19.395995670995674
Wollongong,14.678589224273471,21.516392759759842,3.4619250829777144,11.746986666666668,10.071499762330896,S,45.69591950106155,SW,NE,16.806543385490755,22.285887150308202,66.56234158439352,63.40576878581318,1018.0741666482921,1015.9199125992451,6.23915305229315,5.987949257060583,18.14345283635586,19.995095589507823
Woomera,12.945104408352668,26.574153132250583,0.5153132250580046,7.848480330037866,1.1391386773067393,SSW,44.27238979118329,SE,SSW,20.992575406032483,21.470069605568444,54.19025522041763,29.48352668213457,1018.5160835266822,1015.8443990719259,5.6357256948939956,4.91190616579084,17.64677494199536,25.181438515081208
